Investigador,Nombre del evento,Tipo,Lugar,Ámbito,Productos asociados,Instituciones asociadas,Participantes,Año
Yorladys Mayilsen Martínez Aroca,III Semana de Iniciación Científica, Congreso,São Carlos   - Universidade Federal de São Carlos,Nacional,"Un modelo real para los gráficos alfa: Demás trabajos - Demás trabajos - Póster
","Universidade Federal de São Carlos: Patrocinadora
","YORLADYS MAYILSEN MARTINEZ AROCA: Ponente
",2015
Yorladys Mayilsen Martínez Aroca,Oitava jornada de Equações Diferenciais Parciais, Congreso,São Carlos   - Universidad Federal de São Carlos,Nacional,"Un modelo real para los gráficos alfa: Demás trabajos - Demás trabajos - Póster
","Universidade Federal de São Carlos: Patrocinadora
","YORLADYS MAYILSEN MARTINEZ AROCA: Asistente
",2015
Yorladys Mayilsen Martínez Aroca,Tercer Encuentro nacional de Matemáticas y Estadística, Encuentro,IBAGUÉ   - Universidad del Tolima,Nacional,Ninguno,"UNIVERSIDAD DEL TOLIMA: Gestionadora
","YORLADYS MAYILSEN MARTINEZ AROCA: Asistente
",2013
Yorladys Mayilsen Martínez Aroca,II Encuentro Internacional de Meta-Matemáticas, Encuentro,SANTA MARTA   - Universidad Sergio Arboleda,Internacional,Ninguno,"Universidad Sergio Arboleda - Sede Santa Marta: Gestionadora
","YORLADYS MAYILSEN MARTINEZ AROCA: Asistente
",2012
Yorladys Mayilsen Martínez Aroca,Escuela de Geometría 2012, Otro,CALI   - Universidad del Valle,Nacional,Ninguno,"UNIVERSIDAD DEL VALLE: Gestionadora
","YORLADYS MAYILSEN MARTINEZ AROCA: Asistente
",2012
Yorladys Mayilsen Martínez Aroca,Segundo Encuentro nacional de Matemáticas y Estadística, Encuentro,IBAGUÉ   - Universidad del Tolima,Nacional,Ninguno,"UNIVERSIDAD DEL TOLIMA: Gestionadora
","YORLADYS MAYILSEN MARTINEZ AROCA: Asistente
",2012
Yorladys Mayilsen Martínez Aroca,I Encuentro Internacional de Matemáticas Estadística y Educación Matemática y XXII Jornada de Matemáticas y Estadística, Encuentro,TUNJA   - Universidad Pedagógica y Tecnológica de Colombia,Internacional,Ninguno,"Universidad Pedagógica Y Tecnológica De Colombia - Uptc - Sede Tunja: Gestionadora
","YORLADYS MAYILSEN MARTINEZ AROCA: Asistente
",2011
Yorladys Mayilsen Martínez Aroca,Primer Encuentro nacional de Matemáticas y Estadística, Encuentro,IBAGUÉ   - Universidad del Tolima,Nacional,Ninguno,"UNIVERSIDAD DEL TOLIMA: Gestionadora
","YORLADYS MAYILSEN MARTINEZ AROCA: Asistente
",2011
Yorladys Mayilsen Martínez Aroca,II Workshop Internacional: Investigación en Imaginarios y Representaciones, Congreso,CONCEPCIÓN   - Universidad de Concepción,Internacional,"Croquis afectivo del miedo una mirada local al imaginario global: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","TATIANA HERNANDEZ CIFUENTES: Ponente
YORLADYS MAYILSEN MARTINEZ AROCA: Ponente
",2018
Yorladys Mayilsen Martínez Aroca,I Congreso internacional de ciencia y tecnología en el trópico: Aguacate Hass y Cacao, Encuentro,IBAGUÉ   - Universidad del Tolima,Internacional,"Modelación de la agrocadena del Aguacate Hass en el Tolima (Estructura y lazos de interacción): Demás trabajos - Demás trabajos - Póster
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","YORLADYS MAYILSEN MARTINEZ AROCA: Ponente
",2019
Yorladys Mayilsen Martínez Aroca,"VI Congreso internacional Industria, Organizaciones y logística: "" Impactos y Perspectivas de la cuarta revolución industrial""", Congreso,CARTAGENA DE INDIAS   - Escuela Naval de Cadetes Almirante Padilla,Internacional,"MODELO DE SIMULACIÓN DINAMICA PARA UNA AGROCADENA DE SUMINISTRO CASO: AGROCADENA DEL AGUACATE DEL TOLIMA: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","YORLADYS MAYILSEN MARTINEZ AROCA: Ponente
",2019
Yorladys Mayilsen Martínez Aroca,Semana de investigación universitaria, Congreso,IBAGUÉ   - Universidad de Ibague,Nacional,"Estrategias para la construcción de formación ciudadana en el contexto del pos-acuerdo en algunas instituciones educativas de Ibagué: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","YORLADYS MAYILSEN MARTINEZ AROCA: Ponente
",2021
Blanca Myriam SALGUERO LONDOÑO,Foro Regional de Área Protegidas y otras estrategias de conservación, Otro,IBAGUÉ   - Universidad del Tolima,Nacional,"Los sistemas integrados de producción, ¿Una estrategia para la conservación?: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DE IBAGUÉ: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Ponente
",2014
Blanca Myriam SALGUERO LONDOÑO,Primer Encuentro de Química, Encuentro,IBAGUÉ   - Universidad del Tolima,Nacional,Ninguno,"UNIVERSIDAD DEL TOLIMA: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",1996
Blanca Myriam SALGUERO LONDOÑO,II Seminario Nacional de Biotecnología, Seminario,IBAGUÉ   -,Nacional,Ninguno,"UNIVERSIDAD DEL TOLIMA: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",1996
Blanca Myriam SALGUERO LONDOÑO,Programa Recreo, Congreso,"BOGOTÁ, D.C.   -",Nacional,Ninguno,"UNIVERSIDAD NACIONAL DE COLOMBIA: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",1996
Blanca Myriam SALGUERO LONDOÑO,I Simposio Regional de Plantas Medicinales y/o Toxicas, Simposio,IBAGUÉ   -,Nacional,Ninguno,"UNIVERSIDAD DEL TOLIMA: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",1996
Blanca Myriam SALGUERO LONDOÑO,"Seminario Taller ""Evaluación de los Factores de Riesgo y Mejoramiento de la Calidad en el Servicio de los Laboratorios", Taller,IBAGUÉ   -,Nacional,Ninguno,"UNIVERSIDAD DEL TOLIMA: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",1996
Blanca Myriam SALGUERO LONDOÑO,Seminario de Química Analítica  Instrumental, Seminario,IBAGUÉ   -,Nacional,Ninguno,"UNIVERSIDAD DEL TOLIMA: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",1997
